term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),8132.782605454036,1.8135532667868477,4484.446503114433,0,8129.227541976779,8136.337668931292
vertical_speed_mps,0.013197993251410406,0.0020536238211789942,6.426684924132494,1.3826132607758018e-10,0.009172325422181087,0.017223661080639725
ground_speed_kmh,0.010491402993548683,2.4556067848469846e-4,42.724279222100414,0,0.010010036487519334,0.010972769499578032
barometric_pressure_hpa,-0.09765725229959621,2.17906636019416e-5,-4481.60983453917,0,-0.09769996799686034,-0.09761453660233207
accel_z_g,-0.08033079990191794,0.008935878597068573,-8.9896923989399955,3.0828337570390323e-19,-0.09784758102956653,-0.06281401877426934
total_distance_km,-0.10569462571189818,0.0014644867570771827,-72.17178660109097,0,-0.10856542277000464,-0.10282382865379172
